"startNodeId","endNodeId","relationshipType","allProperties"
"294","10294","OWNS","{}"
"295","10295","OWNS","{}"
"7005","10296","OWNS","{}"
"297","10297","OWNS","{}"
"298","10298","OWNS","{}"
"299","10299","OWNS","{}"
"5979","10300","OWNS","{}"
"301","10301","OWNS","{}"
"8219","10302","OWNS","{}"
"304","10304","OWNS","{}"
"305","10305","OWNS","{}"
"1256","10306","OWNS","{}"
"307","10307","OWNS","{}"
"308","10308","OWNS","{}"
"309","10309","OWNS","{}"
"310","10310","OWNS","{}"
"311","10311","OWNS","{}"
"312","10312","OWNS","{}"
"9582","10313","OWNS","{}"
"314","10314","OWNS","{}"
"315","10315","OWNS","{}"
"316","10316","OWNS","{}"
"317","10317","OWNS","{}"
"318","10318","OWNS","{}"
"0","10319","OWNS","{}"
"320","10320","OWNS","{}"
"6976","10321","OWNS","{}"
"322","10322","OWNS","{}"
"323","10323","OWNS","{}"
"324","10324","OWNS","{}"
"325","10325","OWNS","{}"
"326","10326","OWNS","{}"
"4663","10327","OWNS","{}"
"328","10328","OWNS","{}"
"329","10329","OWNS","{}"
"330","10330","OWNS","{}"
"331","10331","OWNS","{}"
"226","10332","OWNS","{}"
"333","10333","OWNS","{}"
"334","10334","OWNS","{}"
"335","10335","OWNS","{}"
"336","10336","OWNS","{}"
"337","10337","OWNS","{}"
"338","10338","OWNS","{}"
"339","18255","OWNS","{}"
"7031","10340","OWNS","{}"
"341","10341","OWNS","{}"
"342","10342","OWNS","{}"
"2027","10343","OWNS","{}"
"4640","10344","OWNS","{}"
"345","10345","OWNS","{}"
"346","10346","OWNS","{}"
"8604","10347","OWNS","{}"
"4606","10348","OWNS","{}"
"349","10349","OWNS","{}"
"351","10351","OWNS","{}"
"352","10352","OWNS","{}"
"353","10353","OWNS","{}"
"354","10354","OWNS","{}"
"2268","10355","OWNS","{}"
"356","10356","OWNS","{}"
"357","10357","OWNS","{}"
"315","10358","OWNS","{}"
"359","12637","OWNS","{}"
"360","10360","OWNS","{}"
"361","10361","OWNS","{}"
"31","10362","OWNS","{}"
"363","10363","OWNS","{}"
"364","10364","OWNS","{}"
"365","10365","OWNS","{}"
"366","10366","OWNS","{}"
"325","10367","OWNS","{}"
"368","10368","OWNS","{}"
"2463","10369","OWNS","{}"
"370","10370","OWNS","{}"
"371","10371","OWNS","{}"
"372","10372","OWNS","{}"
"373","10373","OWNS","{}"
"374","10374","OWNS","{}"
"375","10375","OWNS","{}"
"376","10376","OWNS","{}"
"377","10377","OWNS","{}"
"378","10378","OWNS","{}"
"379","10379","OWNS","{}"
"380","10380","OWNS","{}"
"381","10381","OWNS","{}"
"382","10382","OWNS","{}"
"383","10383","OWNS","{}"
"384","10384","OWNS","{}"
"385","10385","OWNS","{}"
"386","10386","OWNS","{}"
"134","10387","OWNS","{}"
"388","10388","OWNS","{}"
"389","10389","OWNS","{}"
"1955","10390","OWNS","{}"
"212","10391","OWNS","{}"
"392","10392","OWNS","{}"
"393","10393","OWNS","{}"
"394","10394","OWNS","{}"
"395","10395","OWNS","{}"
"396","10396","OWNS","{}"
"397","10397","OWNS","{}"
"398","10398","OWNS","{}"
"399","10399","OWNS","{}"
"400","10400","OWNS","{}"
"401","10401","OWNS","{}"
"402","10402","OWNS","{}"
"403","10403","OWNS","{}"
"404","10404","OWNS","{}"
"5444","10405","OWNS","{}"
"406","10406","OWNS","{}"
"407","10407","OWNS","{}"
"408","10408","OWNS","{}"
"198","10409","OWNS","{}"
"237","10410","OWNS","{}"
"4830","10411","OWNS","{}"
"373","10412","OWNS","{}"
"413","10413","OWNS","{}"
"414","10414","OWNS","{}"
"415","10415","OWNS","{}"
"416","10416","OWNS","{}"
"417","10417","OWNS","{}"
"418","10418","OWNS","{}"
"419","10419","OWNS","{}"
"420","10420","OWNS","{}"
"421","10421","OWNS","{}"
"422","10422","OWNS","{}"
"423","10423","OWNS","{}"
"424","10424","OWNS","{}"
"425","10425","OWNS","{}"
"373","10426","OWNS","{}"
"427","10427","OWNS","{}"
"428","10428","OWNS","{}"
"418","10429","OWNS","{}"
"430","10430","OWNS","{}"
"361","10431","OWNS","{}"
"432","10432","OWNS","{}"
"433","10433","OWNS","{}"
"434","10434","OWNS","{}"
"435","10435","OWNS","{}"
"436","10436","OWNS","{}"
"437","10437","OWNS","{}"
